target,model,backend,weight,rmse,mae,r2,auc,brier
future_progress_4w,CatBoostRegressor_seed42,GPU,0.3326884655770948,0.08511000214869496,0.04226308022390206,0.9455777080026857,,
future_progress_4w,CatBoostRegressor_seed84,GPU,0.33286518858595177,0.08506481600073089,0.043011439048138034,0.9456354798480996,,
future_progress_4w,DecisionStudio_Progress_Ensemble,GPU/CPU mixed,1.0,0.08349642890677736,0.038895199265501675,0.947621696484479,,
future_progress_4w,XGBoostRegressor,GPU,0.3344463458369535,0.08466265627526552,0.03389202453964284,0.946148301489429,,
miss_target_observed,CatBoostClassifier_seed42,GPU,0.5029009552264903,,,,0.9992092010155523,0.00842202064683679
miss_target_observed,CatBoostClassifier_seed84,GPU,0.49708351457704414,,,,0.9988346120229193,0.030096155867504772
miss_target_observed,DecisionStudio_Risk_Ensemble,GPU/CPU mixed,1.0,,,,0.9990288433524327,0.0029059004598988862
miss_target_observed,XGBoostClassifier,GPU,1.5530196465612325e-05,,,,0.9668280636523814,0.00746178128938177
weeks_remaining_actual,CatBoostWeeks_seed42,GPU,0.31853988408346084,0.15765587154118757,0.046002807904407354,-0.8712823374353882,,
weeks_remaining_actual,CatBoostWeeks_seed84,GPU,0.2946521147501815,0.17043720554452918,0.051157205955534864,-1.1869951954162192,,
weeks_remaining_actual,DecisionStudio_Weeks_Ensemble,GPU/CPU mixed,1.0,0.14440949338023304,0.043095089830252724,-0.570039243246548,,
weeks_remaining_actual,XGBoostWeeks,GPU,0.3868080011663578,0.12983103476240782,0.03543959233561173,-0.2690421760493322,,
