model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForest_BAG_L3,-0.039843282916726626,-0.04182636042122287,root_mean_squared_error,7.90495491027832,7.4768288135528564,4212.9263525009155,0.20724081993103027,0.46447300910949707,2.1681933403015137,3,True,19
ExtraTrees_BAG_L3_FULL,-0.039917086274992554,,root_mean_squared_error,1.5229299068450928,,243.82813382148743,0.21898722648620605,0.4753143787384033,1.5736298561096191,3,True,46
ExtraTrees_BAG_L3,-0.039923527491300737,-0.04196807196587867,root_mean_squared_error,7.921139717102051,7.487670183181763,4212.331789016724,0.22342562675476074,0.4753143787384033,1.5736298561096191,3,True,22
RandomForest_BAG_L3_FULL,-0.03994064642540556,,root_mean_squared_error,1.5078306198120117,,244.42269730567932,0.203887939453125,0.46447300910949707,2.1681933403015137,3,True,43
RandomForest_BAG_L2_FULL,-0.039950459443197084,,root_mean_squared_error,0.9006621837615967,,159.19294142723083,0.2109527587890625,0.4590015411376953,2.2042675018310547,2,True,35
CatBoost_BAG_L2_FULL,-0.04001721884962336,,root_mean_squared_error,0.6984999179840088,,160.7990803718567,0.00879049301147461,,3.810406446456909,2,True,36
CatBoost_BAG_L3_FULL,-0.04004137683734733,,root_mean_squared_error,1.3116347789764404,,244.1113247871399,0.007692098617553711,,1.856820821762085,3,True,44
WeightedEnsemble_L4,-0.04011583596146702,-0.040605972558248944,root_mean_squared_error,7.907420635223389,7.477228164672852,4212.95317029953,0.0024657249450683594,0.0003993511199951172,0.026817798614501953,4,True,24
WeightedEnsemble_L3,-0.04015783578663691,-0.040592132330863166,root_mean_squared_error,5.453735113143921,5.0570969581604,3398.6431312561035,0.0021822452545166016,0.00035572052001953125,0.01535654067993164,3,True,16
LightGBM_2_BAG_L2_FULL,-0.04029001804271556,,root_mean_squared_error,0.8110718727111816,,165.95736289024353,0.12136244773864746,,8.96868896484375,2,True,34
CatBoost_2_BAG_L3_FULL,-0.040300948660266865,,root_mean_squared_error,1.3138904571533203,,248.86406302452087,0.009947776794433594,,6.609559059143066,3,True,45
CatBoost_BAG_L3,-0.040343929544877685,-0.04188498199677997,root_mean_squared_error,7.76195216178894,7.096306562423706,4287.773339986801,0.06423807144165039,0.08395075798034668,77.01518082618713,3,True,20
CatBoost_2_BAG_L2_FULL,-0.0404084434581167,,root_mean_squared_error,0.7008388042449951,,192.9644615650177,0.011129379272460938,,35.97578763961792,2,True,37
CatBoost_2_BAG_L3,-0.040545876235005905,-0.04190331180243976,root_mean_squared_error,7.790887355804443,7.123456001281738,4556.610458374023,0.09317326545715332,0.1111001968383789,345.8522992134094,3,True,21
LightGBM_BAG_L3,-0.04069265591980736,-0.04233990299507658,root_mean_squared_error,7.855234384536743,7.118592023849487,4261.672302722931,0.15752029418945312,0.10623621940612793,50.914143562316895,3,True,17
RandomForest_BAG_L2,-0.04080540021891268,-0.04243991447849411,root_mean_squared_error,4.7282633781433105,4.470998048782349,2512.306356906891,0.21174979209899902,0.4590015411376953,2.2042675018310547,2,True,11
WeightedEnsemble_L4_FULL,-0.040923235651031085,,root_mean_squared_error,1.5103096961975098,,244.44951510429382,0.002479076385498047,,0.026817798614501953,4,True,48
WeightedEnsemble_L3_FULL,-0.04096457947361612,,root_mean_squared_error,0.9587278366088867,,195.73310208320618,0.002244710922241211,,0.01535654067993164,3,True,40
ExtraTrees_BAG_L2_FULL,-0.0410223021325913,,root_mean_squared_error,0.904677152633667,,158.58095574378967,0.2149677276611328,0.4825472831726074,1.5922818183898926,2,True,38
WeightedEnsemble_L2,-0.04104469271274723,-0.04214128398154654,root_mean_squared_error,1.3325228691101074,1.0409929752349854,1207.246818304062,0.0017979145050048828,0.0003809928894042969,0.01601099967956543,2,True,8
LightGBM_2_BAG_L3_FULL,-0.04107534434322576,,root_mean_squared_error,1.3348267078399658,,245.8583540916443,0.0308840274810791,,3.6038501262664795,3,True,42
NeuralNetTorch_BAG_L3_FULL,-0.04119293455753193,,root_mean_squared_error,1.3372280597686768,,257.40278601646423,0.03328537940979004,,15.148282051086426,3,True,47
LightGBM_2_BAG_L2,-0.04125880473956699,-0.04293390253006902,root_mean_squared_error,6.412986755371094,5.344450235366821,2685.3077545166016,1.8964731693267822,1.332453727722168,175.20566511154175,2,True,10
LightGBM_BAG_L2,-0.041262331404572986,-0.04204293569876684,root_mean_squared_error,4.6977503299713135,4.142803907394409,2562.972843647003,0.18123674392700195,0.13080739974975586,52.87075424194336,2,True,9
LightGBM_2_BAG_L3,-0.04126947766230941,-0.04276475967921225,root_mean_squared_error,8.195827722549438,7.305309534072876,4322.133642911911,0.49811363220214844,0.2929537296295166,111.375483751297,3,True,18
NeuralNetTorch_BAG_L2,-0.0413298869732836,-0.04199725532173509,root_mean_squared_error,4.981336355209351,4.3737969398498535,3208.27260017395,0.46482276916503906,0.3618004322052002,698.1705107688904,2,True,15
WeightedEnsemble_L2_FULL,-0.04138716008748839,,root_mean_squared_error,0.09590554237365723,,71.49955821037292,0.0016703605651855469,,0.01601099967956543,2,True,32
CatBoost_BAG_L2,-0.04162956833629635,-0.04227856985159788,root_mean_squared_error,4.593743562698364,4.1051318645477295,2645.382242202759,0.07722997665405273,0.09313535690307617,135.28015279769897,2,True,12
NeuralNetTorch_BAG_L3,-0.04166498665523908,-0.043647267531395466,root_mean_squared_error,8.167787313461304,7.366142272949219,4643.054662704468,0.47007322311401367,0.3537864685058594,432.29650354385376,3,True,23
CatBoost_2_BAG_L2,-0.041731021126715125,-0.042394427317078834,root_mean_squared_error,4.643234729766846,4.1526100635528564,3145.4345269203186,0.12672114372253418,0.14061355590820312,635.3324375152588,2,True,13
