northing,easting,scr_no,ohl_length_meter,ohl_progress,engg_kpi_after_rig-off_days,access_road_5,earth_work_60,cellar_20,beam_pump_base_esp_pcp_foundation_5,earthing_1,water_2,hdpe_liner_instalat_4,sleeper_pre_cast_ins_15,cs_pipe_welding_ndt_10_rt_for_op_100_for_60,pe_fussion_pull_20,final_hydro_t_3,mechani_60,days_since_start,start_month,start_quarter,rig_duration_days,days_to_rig_off_exp,week_index,dist_from_centroid,geo_quadrant,geo_angle,loc_prep_composite,progress_lag1,progress_lag2,progress_lag4,progress_velocity_1w,progress_velocity_2w,progress_accel,progress_rolling3w,remaining_to_complete,momentum_score,rig_no_te,rig_no_cnt,project_id_te,project_id_cnt,project_code_te,project_code_cnt,well_type_te,well_type_cnt,completion_type_rig_fbu_or_rsr_hoist_te,completion_type_rig_fbu_or_rsr_hoist_cnt,week_hist_mean,week_hist_std,rig_no_enc,well_type_enc,project_code_enc,project_name_enc,fl_dia_enc,completion_type_rig_fbu_or_rsr_hoist_enc,flow_line_const._status_in_progress_completed_enc,physical_tie_in_port_available_when_flaf_issued_enc,location_preparation_status_in_progress_completed_enc,pred
0.0,0.0,-0.010460922006748086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04276383646464921,0.0,0.0,0.0,0.0,0.0,0.0,0.0379120808493453,0.0,0.0,0.0,-0.01215000214318754,-0.020377837511499554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008697613568542997,-0.016838107620412778,0.0,0.0,0.0,0.0,0.0,0.0,-0.01218681792130606,0.0,0.0,0.0,0.0,-0.013557698373893673,0.0,0.0,-0.01774788543178996,0.0,0.0,0.0,0.38518843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007016526773527988,0.0,-0.004832665143501188,0.0,0.0,0.0,0.0,-0.04478573743501768,0.0,0.0,0.0,0.0,0.03172211556998389,-0.01495727379836185,0.0,0.0,0.0,0.0,0.0,-0.023344161609074876,-0.021723140238140065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013737422503907182,0.0,0.0,-0.017406230564567953,0.0,-0.0095453234889662,0.0,0.0,0.0,0.0,0.0,0.0,0.29090303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018988564791118843,0.0,0.0,0.0,-0.006042497542451134,0.0,-0.0017571993715420353,0.0,0.0,0.0,0.0,-0.05479148791526451,0.0,0.0,0.0,0.0,-0.05954290459616767,-0.08823897007110536,-0.0016093831106238632,0.0,0.0,0.0,0.0,-0.01298460993163232,-0.05584415295691658,0.0,-0.02028085454117623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11353848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00876936928772376,0.032335008740655424,0.03159238001281642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13108145443815022,0.042723392853823004,0.0,0.0,0.01933889603153373,0.0,0.0,0.013459923781688794,0.02257678101886454,0.01823816520078831,0.0,0.016148006453806343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7527928
0.0,0.0,0.018351301468495146,0.0,0.0,0.0,0.01038208977904571,0.0,0.0,0.0,0.008692243344471606,0.01763372363297109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04217146206582846,0.0,0.0,0.0,0.0,0.07666563869676789,0.10536367704394967,0.0,0.0,0.0,0.0,0.0,0.04414616643781211,0.09301094988802784,0.0,0.0,0.0,0.012549050667711703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8454957
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019818791081159744,0.0,0.02511119473378395,0.0,0.0,0.0,0.0,0.06298650568813907,0.0,0.0,0.0,0.0,0.07053244266358917,0.10567617019011333,0.012174113810554443,0.0,0.0,0.0,0.0,0.044944440643869765,0.08540531303273756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008551989707433089,0.0,0.0,0.0,0.02329127712357298,0.0,0.0,0.87502164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011410011770437201,0.0,-0.009383956355613803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06293683925362441,-0.07837515472396522,0.0,0.0,0.0,0.0,0.0,-0.03450113615756174,-0.047001288843709896,0.0,0.0,0.0,-0.025233968633090274,0.0,0.0,0.0,0.0,0.0,0.0,-0.008927031866080348,0.0,0.0,0.0,0.0,-0.01507900495436418,0.0,0.0,-0.013060573650652104,0.0,0.0,0.0,0.11062043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012492654445074858,-0.0033722896330280363,0.0,0.0,0.0,0.0,0.0,0.0,-0.05379398051974218,0.0,0.0,0.0,0.0,-0.046660478602650234,-0.11079975694513214,-0.0032491609749566285,0.0,0.0,0.0,0.0,-0.029585914353278498,-0.07622770692625355,-0.030668198493641583,-0.029444755009191855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314779
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004875076984509715,0.030177974153057847,0.0039076157337659045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045365595518963284,0.05452807211540596,0.0,0.0,0.0,0.0,0.0,0.02385030156932961,0.027880298625011325,0.0,0.0,0.0,0.0021570327303436776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004970724117495091,0.0,0.0,0.0023528212626603203,0.0,0.0,0.0,0.6165949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004586817661172526,0.0,0.0,0.0,-0.011688536884700737,0.0,0.0,0.0,0.0,0.0,0.0,-0.06043166355968528,0.0,0.0,0.0,0.0,-0.04222672068473547,-0.11937414712490284,-0.011219192797350864,-0.00590938737105832,0.0,0.0,0.0,-0.04797074123190677,-0.09775778030922691,0.0,-0.008541113527665978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823298
